שם הרשות,סמל הרשות,מחוז,מעמד מוניציפאלי,סהכ אוכלוסייה בסוף השנה,"אשכול מדד חברתי כלכלי (משנת 2019, מ-1 עד 10, 1 הנמוך ביותר)",סהכ תקבולים (תקציב רגיל ותקציב בלתי רגיל),סהכ הכנסות בתקציב הרגיל,הכנסות לנפש בתקציב הרגיל (שח),מיסים ומענקים,שירותים מקומיים,סהכ שירותים ממלכתיים,שירותים ממלכתיים - חינוך,שירותים ממלכתיים - רווחה,שירותים ממלכתיים - תרבות,סהכ מפעלים,מפעלים - מפעל המים,תקבולים בלתי רגילים,סהכ הכנסות בתקציב הרגיל.1,סהכ הכנסות עצמיות,הכנסות עצמיות: מארנונה,ארנונה למגורים: סהכ גביות,ארנונה למגורים: סהכ חיובים נטו,ארנונה למגורים: יחס גבייה ב-% לכלל החיובים,ארנונה למגורים: גבייה השנה (קרן + ריבית),ארנונה למגורים: חיוב בשנת החשבון,ארנונה למגורים: יחס גבייה ב-% לחיוב השנה,"ארנונה למגורים: סהכ פטורים, שחרורים והנחות",ארנונה למגורים: גביית פיגורים (קרן + ריבית),ארנונה לא למגורים: גבייה,הכנסות עצמיות: מחינוך,הכנסות עצמיות: מרווחה,יתר הכנסות עצמיות,סהכ הכנסות מהממשלה,הכנסות מהממשלה: ממשרד החינוך,הכנסות מהממשלה: ממשרד הרווחה,הכנסות מהממשלה: מענק כללי,הכנסות מהממשלה: מענקים מיוחדים ומיועדים,הכנסות מהממשלה: מענקים להקטנת גירעון מצטבר,מלוות למחזור ולאיזון,סהכ הכנסות בתקציב בלתי רגיל,השתתפות בעלי נכסים,השתתפות הממשלה,מלוות,הכנסות אחרות,סהכ תשלומים (תקציב רגיל ותקציב בלתי רגיל),סהכ הוצאות בתקציב הרגיל,הוצאה לנפש בתקציב הרגיל (שח),הנהלה וכלליות,שירותים מקומיים.1,סהכ שירותים ממלכתיים.1,שירותים ממלכתיים: חינוך,שירותים ממלכתיים: רווחה,שירותים ממלכתיים: תרבות,מפעלים,מפעלים: מפעל המים,תשלומים בלתי רגילים,סהכ הוצאות בתקציב הרגיל.1,סהכ הוצאות לעלות עבודה,הוצאות לעלות עבודה: לחינוך,הוצאות לעלות עבודה: לרווחה,הוצאות תפעול,הוצאות לפירעון מלוות,הוצאות מימון,העברות והוצאות חד-פעמיות (כולל כיסוי גירעון מצטבר),"הוצאות כלליות, השתתפויות והעברות",סהכ הוצאות בתקציב בלתי רגיל,הוצאות לעבודות שבוצעו במשך השנה,הוצאות להעברת מלוות,הוצאות אחרות,עודף/גירעון בתקציב הרגיל השנה,עודף/גירעון בתקציב הרגיל השנה ללא קבלת מלוות לאיזון,עודף/גירעון מצטבר בתקציב הרגיל לסוף שנה,עומס מלוות לסוף השנה (כולל הפרשי הצמדה),סהכ חיוב ארנונה - חיוב באלפי ₪,למגורים,"למשרדים, שירותים ומסחר",לתעשייה,למלאכה,לבנקים וחברות ביטוח,לבתי מלון,לחניונים,לקרקע תפוסה,לקרקע תפוסה לעריכת אירועים,לקרקע תפוסה במפעל עתיר שטח,לאדמה חקלאית,למבנה חקלאי,למגורים שאינם בשימוש,לאדמת בניין,למערכת סולרית על גג נכס,למערכת סולרית שאינה על גג נכס,לקרקע תפוסה למערכת סולרית,ליתר סוגי הנכסים,סהכ חיוב ארנונה - שטחים באלפי מר,למגורים.1,"למשרדים, שירותים ומסחר.1",לתעשייה.1,למלאכה.1,לבנקים וחברות ביטוח.1,לבתי מלון.1,לחניונים.1,לקרקע תפוסה.1,לקרקע תפוסה לעריכת אירועים.1,לקרקע תפוסה במפעל עתיר שטח.1,לאדמה חקלאית.1,למבנה חקלאי.1,למגורים שאינם בשימוש.1,לאדמת בניין.1,למערכת סולרית על גג נכס.1,למערכת סולרית שאינה על גג נכס.1,לקרקע תפוסה למערכת סולרית.1,ליתר סוגי הנכסים.1,ארנונה והכנסות עצמיות,סהכ  אוכלוסייה בסוף השנה,ארנונה לא למגורים לנפש,ארנונה למגורים והכנסות עצמיות לנפש,הכנסות מהמדינה לנפש,אשכול
אום אל-פחם,2710.0,חיפה,עירייה,58664.53005445728,2.0,460314.0,398901.0,6799.696505362048,144464.0,11027,237363,184022,49273,2000,682.0,0,5365.0,398901.0,112906.0,67797.0,45096.0,82787.9111,0.5447172105300288,39868.0,75704.9111,0.5266236948265831,23718.0,5228.0,22701.0,2028.0,1996.0,41085.0,285995.0,181047,44434.0,37639,11490.0,1242,0,61413.0,0,30882.0,16426,14105,442867.0,401471.0,6843.5049190255395,28674,43693.0,290362.0,209502.0,68175.0,9689.0,1814.0,0,36928,401471.0,199501.0,133378.0,27971.0,90032.0,8482,1035,3026.0,98153.0,41396.0,34270,1426,5700.0,-2570.0,-2570.0,-25315.0,65551.0,140787.9208,104772.9111,30123.9482,1342.3449,1818.7315,1140.2227,0.0,230.1872,1290.8244,0.0,0.0,0.0,68.7508,0,0.0,0.0,0.0,0.0,0.0,3301.04838,2773.9708,384.96114,16.67441,21.32408,1.675,0.0,37.42827,61.81399,0.0,0.0,0.0,3.20069,0,0.0,0.0,0.0,0.0,0.0,84977.0,58664.53005445728,0.3869629566439388,1.9246041840817831,4.875092321280265,2.0
אופקים,31.0,הדרום,עירייה,35506.139782210004,3.0,531141.0,265474.0,7476.847712209286,121956.0,22595,107851,68764,34990,2964,2288.0,56,10784.0,265474.0,103835.0,54820.0,37121.0,79526.0,0.4667781606015643,33620.0,51539.0,0.652321542909253,14144.0,3501.0,17699.0,4222.0,908.0,43885.0,161639.0,61486,33997.0,43685,9506.0,0,0,265667.0,646,46725.0,4000,214296,493354.0,265480.0,7477.01669706759,25287,54049.0,147846.0,92649.0,45906.0,6078.0,3769.0,2,34529,265480.0,95804.0,40302.0,11331.0,100713.0,5354,1000,2006.0,60603.0,227874.0,219491,0,8383.0,-6.0,-6.0,-14396.0,28566.0,67102.0,47696.0,7117.0,8869.0,785.0,1338.0,0.0,154.0,1143.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1667.2,1154.0,78.0,138.5,11.2,1.3,0.0,6.2,278.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,82635.0,35506.139782210004,0.49847716785218954,2.9244237936568225,4.552423918552464,3.0
אור יהודה,2400.0,תל אביב,עירייה,38853.87816571751,5.0,637749.0,379793.0,9774.90582484783,202086.0,53027,121634,80434,39632,1133,612.0,272,2434.0,379793.0,247126.0,148911.0,61531.0,67779.0,0.9078180557399784,57527.0,89294.0,0.6442426142853944,26248.0,4004.0,87380.0,4862.0,1200.0,92153.0,132667.0,74307,38084.0,2492,13778.0,0,0,257956.0,0,33771.0,0,224185,729502.0,379762.0,9774.10796369565,32596,86128.0,209863.0,139831.0,56458.0,10093.0,314.0,0,50861,379762.0,141007.0,69477.0,17219.0,114412.0,3776,2089,2819.0,115659.0,349740.0,337546,0,12194.0,31.0,31.0,-39680.0,20358.0,160605.0,70030.0,55093.0,23429.0,1073.0,2204.0,0.0,6197.0,2529.0,0.0,0.0,50.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2240.57546,1371.89048,261.27549,157.62902,7.40908,1.51509,0.0,130.99593,74.32147,0.0,0.0,235.5389,0.0,0,0.0,0.0,0.0,0.0,0.0,155742.0,38853.87816571751,2.2489389508895723,6.360394680447888,3.4145111443999414,5.0
אור עקיבא,1020.0,חיפה,עירייה,20874.173811195935,5.0,244436.0,192907.0,9241.419648260937,86868.0,7097,79889,56634,22043,907,16790.0,16719,2263.0,192907.0,118760.0,59144.0,27110.0,57209.0,0.4738764879651803,23242.0,42725.0,0.543990637799883,11016.0,3868.0,32034.0,23050.0,427.0,36139.0,74147.0,32457,21616.0,15189,1220.0,900,0,51529.0,0,27556.0,1750,22223,248678.0,199383.0,9551.659471813933,15376,39898.0,104816.0,65977.0,29223.0,7845.0,17387.0,12489,21906,199383.0,68505.0,33627.0,6838.0,62506.0,2886,1042,100.0,63444.0,49295.0,41924,1750,5621.0,-6476.0,-6476.0,-55371.0,15904.0,64052.0,37223.0,12774.0,8274.0,632.0,1083.0,0.0,634.0,3361.0,0.0,0.0,71.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1761.05,899.6,140.3,97.95,7.43,1.14,0.0,24.17,103.28,0.0,0.0,487.18,0.0,0,0.0,0.0,0.0,0.0,0.0,82858.0,20874.173811195935,1.5346236114417355,5.689326968059578,3.5520926802013597,5.0
אילת,2600.0,הדרום,עירייה,53150.8434278484,6.0,775855.0,679874.0,12791.405670220838,406372.0,23272,221007,159952,49718,7838,22353.0,0,6870.0,679874.0,445486.0,350884.0,84917.0,124912.2826,0.6798130514668859,79107.0,105148.936,0.7523328624076613,15022.0,5810.0,265967.0,3813.0,1431.0,89358.0,234388.0,158041,48215.0,0,7221.0,0,0,95981.0,5338,27850.0,10000,52793,797482.60818,677723.60818,12750.947388069226,64442,167554.0,333667.0,208951.0,72893.0,36548.0,27787.0,0,84274,677723.60818,240478.60818,106193.14127,17068.87992,221478.0,22766,7263,28399.0,157339.0,119759.0,109413,0,10346.0,2150.0,2150.0,-63550.0,129398.0,362821.9053,96537.936,98109.715,13836.401,3603.8519,5184.0906,90179.8206,482.0612,44694.3549,184.3808,9691.9317,22.9961,3.4838,0,0.0,0.0,0.0,120.6229,170.25880000001052,10473.2227,2321.24837,609.03594,211.62958,63.379,3.527,903.9864,31.579,3472.29441,5.024,2398.993,360.732,0.069,0,0.0,0.0,0.0,86.735,4.990000000001601,173709.0,53150.8434278484,5.004003376936941,8.381541500931055,4.409864169289783,6.0
אלעד,1309.0,המרכז,עירייה,49487.43314957742,2.0,311029.0,256119.0,5175.435129679727,121566.0,4418,113738,71059,37473,1712,679.0,44,15718.0,256119.0,94330.0,49295.0,36367.0,48530.845,0.7493584750069775,32521.0,53141.845,0.6119659563946265,16765.0,3846.0,12928.0,2100.0,1328.0,41607.0,161789.0,58087,36107.0,33673,9642.0,0,0,54910.0,0,29044.0,0,25866,320826.0,255990.0,5172.828407290022,25656,32843.0,168852.0,94864.0,53123.0,6538.0,1417.0,0,27222,255990.0,51794.0,14487.0,11501.0,156750.0,0,702,7581.0,39163.0,64836.0,63088,0,1748.0,129.0,129.0,-7538.0,0.0,67533.28154,48889.345,14741.07994,96.71545,0.0,1394.44,0.0,1608.692,785.79904,0.0,0.0,5.38,0.0,0,0.0,0.0,0.0,0.0,11.83010999999533,1092.1819381,950.0374,58.823468,0.6767301,0.0,0.94899,0.0,34.71114,13.98421,0.0,0.0,8.0,0.0,0,0.0,0.0,0.0,0.0,25.0,77556.0,49487.43314957742,0.2612380391790516,1.9061404885334108,3.269294641146316,2.0
אריאל,3570.0,אזור יהודה והשומרון,עירייה,20520.055215909462,6.0,207749.0,158602.0,7729.121502413592,86288.0,16396,53173,35386,15332,1948,2095.0,0,650.0,158602.0,89181.0,57170.0,23887.0,29624.0,0.8063394544963544,23143.0,31357.0,0.738048920496221,6781.0,744.0,33283.0,4599.0,502.0,26910.0,69421.0,31154,14682.0,12253,7220.0,0,0,49147.0,0,22978.0,8679,17490,211140.0,158487.0,7723.517228994734,18936,35352.0,83439.0,52615.0,20903.0,7844.0,78.0,0,20682,158487.0,55039.0,24119.0,5788.0,54406.0,2550,881,5463.0,40148.0,52653.0,44923,0,7730.0,115.0,115.0,-2340.0,15757.0,64139.0,29500.0,12303.0,11412.0,311.0,520.0,220.0,0.0,9868.0,0.0,0.0,1.0,4.0,0,0.0,0.0,0.0,0.0,0.0,1769.0,740.0,162.0,196.0,4.0,1.0,5.0,0.0,657.0,0.0,0.0,3.0,1.0,0,0.0,0.0,0.0,0.0,0.0,55154.0,20520.055215909462,1.621974193041901,4.346040937105122,3.38308056530847,6.0
אשדוד,70.0,הדרום,עירייה,226826.9499365105,5.0,2370897.0,1966057.0,8667.651707834122,1012042.0,59971,739256,511518,215401,9226,6076.0,200,148712.0,1966057.0,1278015.0,845923.0,298887.0,332577.0,0.8987001506418063,280728.0,394188.0,0.7121677981064871,95228.0,18159.0,547036.0,41565.0,10440.0,380087.0,688042.0,465753,199730.0,235,493.0,0,0,404840.0,2538,84771.0,0,317531,2275943.0,1920348.0,8466.136852510297,207918,317115.0,1162086.0,705711.0,299724.0,119158.0,7706.0,0,225523,1920348.0,635433.0,320324.0,51812.0,602947.0,82065,34202,5910.0,559791.0,355595.0,235351,0,120244.0,45709.0,45709.0,46208.0,324011.0,960705.0,378995.0,292022.0,88320.0,32134.0,14112.0,3131.0,9907.0,118040.0,91.0,23221.0,177.0,501.0,0,0.0,54.0,0.0,0.0,0.0,22880.45,8210.82,1782.57,804.22,441.6,11.2,41.43,478.84,5091.67,4.47,3198.67,2605.95,10.01,0,0.0,199.0,0.0,0.0,0.0,712820.0,226826.9499365105,2.411688735192696,5.634317264142202,3.0333344436919196,5.0
אשקלון,7100.0,הדרום,עירייה,153138.25632212483,5.0,1436526.0,1196883.0,7815.702155327983,660748.0,68939,420605,267679,140177,11235,10421.0,1359,36170.0,1196883.0,793003.0,539824.0,176546.0,222772.43,0.7924948343024315,164066.0,224560.58,0.7306090855305059,52535.0,12480.0,363278.0,49409.0,4444.0,199326.0,403880.0,225692,134582.0,0,16315.0,0,0,239643.0,0,135567.0,0,104076,1537806.0,1196872.0,7815.630324811792,88921,258729.0,665583.0,410237.0,191045.0,51424.0,18018.0,909,165621,1196872.0,368929.0,136794.0,36469.0,476286.0,23088,4253,19368.0,304948.0,340934.0,290576,0,50358.0,11.0,11.0,-6779.0,132407.0,592274.06,212820.58,150774.6,97444.23,14751.28,10581.57,6003.85,1046.21,69753.1,375.7,8725.91,19.73,0.0,0,0.0,3.15,0.0,0.0,19974.150000000023,12984.423,5551.43,749.24,936.59,146.21,8.05,90.95,38.79,3414.4,12.21,1201.92,676.71,0.0,0,0.0,7.323,0.0,0.0,150.60000000000036,417245.0,153138.25632212483,2.3722223873037205,5.178346802721365,2.6373553526066167,5.0
באקה אל-גרביה,6000.0,חיפה,עירייה,31397.336671209807,4.0,228831.0,205037.0,6530.394668411838,92388.0,3436,106833,85040,19809,1787,170.0,170,2210.0,205037.0,67314.0,40867.0,27715.0,43363.3462,0.639134255741546,23479.0,48305.3462,0.4860538604317052,17863.0,4236.0,13152.0,128.0,100.0,26219.0,137723.0,84207,19735.0,23020,7668.0,0,0,23794.0,0,15329.0,0,8465,229095.0,207580.0,6611.388799430977,11762,30879.0,130653.0,95477.0,26178.0,7851.0,2274.0,225,32012,207580.0,100982.0,66966.0,7869.0,48206.0,974,295,5808.0,51315.0,21515.0,17841,0,3674.0,-2543.0,-2543.0,-14360.0,3953.0,62677.9882,44185.3462,12293.5893,858.1704,2468.1506,585.1405,0.0,60.9099,1912.5207,128.0761,0.0,1.9695,184.115,0,0.0,0.0,0.0,0.0,0.0,1579.63741,1141.84028,149.12762,11.4634,33.40828,0.973,0.0,1.455,154.02483,14.904,0.0,16.776,55.665,0,0.0,0.0,0.0,0.0,0.0,49926.0,31397.336671209807,0.4188890330962338,2.1439398094464632,4.386454858965375,4.0
